model,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,oof_macro_f1,oof_balanced_accuracy,mean_fit_time_seconds,detects_both_minority_classes,precision_normal,recall_normal,f1_normal,precision_side_i,recall_side_i,f1_side_i,precision_side_ii,recall_side_ii,f1_side_ii
LogisticRegression,0.7792593231997827,0.09060821882409292,0.8217678075855689,0.1085561868939591,0.8065134099616859,0.8335368335368335,0.017118854522705076,True,0.9695652173913043,0.9529914529914529,0.9612068965517241,0.5555555555555556,0.7142857142857143,0.625,0.8333333333333334,0.8333333333333334,0.8333333333333334
RandomForest,0.6048992396096093,0.08224834486336645,0.590632130743139,0.08510323919303109,0.5881472807702316,0.5680199430199431,0.5199524211883545,False,0.9173228346456693,0.9957264957264957,0.9549180327868853,0.0,0.0,0.0,0.9444444444444444,0.7083333333333334,0.8095238095238095
ExtraTrees,0.5947048863156541,0.07096560893643311,0.5883233631411244,0.0827682507337009,0.5881472807702316,0.5680199430199431,0.4340707492828369,False,0.9173228346456693,0.9957264957264957,0.9549180327868853,0.0,0.0,0.0,0.9444444444444444,0.7083333333333334,0.8095238095238095
DummyMostFrequent,0.3083015595677215,0.0015869277142342556,0.33333333333333326,5.551115123125783e-17,0.308300395256917,0.3333333333333333,0.000928654670715332,False,0.8602941176470589,1.0,0.924901185770751,0.0,0.0,0.0,0.0,0.0,0.0
